Scope	TopGroup	SubGroup	LeafLabel	LeafInternal	LeafType	LeafReq	LeafRO	LeafTable	LucObject	LucField	LucLabel	LucTable	LucColumn	LucType	LucKeyRole	ASGStatus
Global	Budget	Budget Column	Allow UI Edit?	AllowUIEdit	sTYPE_BOOLEAN	No	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Bid Package	BidPackageID	sTYPE_BID_PACKAGE	No	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Column ClientID	BOMapClientRecordID	sTYPE_TEXT	Yes	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Column Name	BudgetColumnName	sTYPE_TEXT	No	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Column RecID	BudgetColumnID	sTYPE_UNFORMATTED_NUMBER	No	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Column Status	CodeBudgetColumnStatusID	sCODE_BUDGET_COLUMN_STATUS	Yes	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Column Type	BudgetColumnTypeID	sTYPE_BUDGET_COLUMN_TYPE	Yes	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Budget Template	BudgetTemplateID	sTYPE_BUDGET_TEMPLATE	Yes	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Created By Member	CreatedByMemberID	sTYPE_MEMBER	Yes	No	BudgetColumn								EXISTING_GLOBAL
Global	Budget	Budget Column	Created Date	CreatedDate	sTYPE_TIME	No	No	BudgetColumn								EXISTING_GLOBAL;NEEDED_GLOBAL
Global	Budget	Budget Column	Description	Description	sTYPE_TEXTAREA	No	No	BudgetColumn								EXISTING_GLOBAL;NEEDED_GLOBAL
Global	Budget	Budget Column	Initialized From Budget Column	InitializedFromBudgetColumnID	sTYPE_BUDGET_COLUMN	No	No	BudgetColumn								EXISTING_GLOBAL
