LUCERNEX OBJECT	PG TABLE	FIELD COUNT	FIELDS
AccrualTransaction	accrual_transaction	55	APExportBaseNumber(Text) | APExportPrepaidNumber(Text) | AccountNumber1(Text) | AccountNumber2(Text) | AccountNumber3(Text) | AccountNumber4(Text) | AccountNumber5(Text) | AccountNumber6(Text) | AccountNumber7(Text) | AccountNumber8(Text) | AccrualMessage(Text) | AccrualTransactionID(Number) | BOMapClientRecordID(Text) | CodeCurrencyTypeID(Dropdown (Currency Type Code)) | CodeExpenseCategoryID(Dropdown (Expense Category Code)) | CodeExpenseGroupID(Dropdown (Expense Group Code)) | CodeExpenseTypeID(Dropdown (Expense Type Code)) | ContractID(Contract ID) | CreatedByID(Member ID) | CreatedDate(Time) | Description(Text) | ExpAccrualAcct1Number(Text) | ExpAccrualAcct2Number(Text) | ExpAccrualAcct3Number(Text) | ExpAccrualAcct4Number(Text) | ExpenseAccrualSetupID(Text) | HoldFlag(Boolean) | ModifiedByID(Member ID) | ModifiedDate(Time) | Notes(Text) | OrganizationID(Organization ID) | PercentRentAccrualAcct1Number(Text) | PercentRentAccrualAcct2Number(Text) | PercentRentAccrualAcct3Number(Text) | PercentRentAccrualAcct4Number(Text) | PeriodAmount(Currency) | PeriodBeginDate(Date) | PeriodEndDate(Date) | PeriodNumber(Number) | PeriodYear(Number) | PostingDate(Date) | ProcessedFlag(Boolean) | ProjectEntityID(Entity ID) | RETaxAccrualAcct1Number(Text) | RETaxAccrualAcct2Number(Text) | RETaxAccrualAcct3Number(Text) | RETaxAccrualAcct4Number(Text) | RevNumber(Number) | SourceEntityTable(Text) | TaxAmount1(Currency) | TaxAmount2(Currency) | TaxAmount3(Currency) | TaxAmount4(Currency) | TaxesIncludedFlag(Boolean) | TotalAmount(Currency)
AcctingAssumptionAdjust	accting_assumption_adjust	19	AcctingAssumptionAdjustID(Number) | AdjustmentPercent(Percentage) | AnnualAmount(Currency) | BOMapClientRecordID(Text) | BeginDate(Date) | CodeASC842ScheduleID(Dropdown (ASC 842 Schedule Type)) | CodeFrequencyID(Dropdown (Frequency Code)) | CodeIFRS16ScheduleID(Dropdown (IFRS 16 Schedule Type)) | CodeProrationMethodID(Dropdown (Proration Method Code)) | ContractID(Contract ID) | EndDate(Date) | ExpenseSetupID(Expense Setup ID) | FirstPaymentAmount(Currency) | LastPaymentAmount(Currency) | Notes(Text) | PaymentAmount(Currency) | PaymentRate(Currency) | ProjectEntityID(Entity ID) | SecondaryRentSchedAllocPercent(Percentage)
Allowance	allowance	23	AllowanceID(Number) | AmendmentID(Contract Amendment ID) | BOMapClientRecordID(Text) | BeginDate(Date) | CodeAllowanceGroupID(Dropdown (Allowance Group Code)) | CodeAllowanceTypeID(Dropdown (Allowance Type Code)) | CodeBuildingAreaUnitID(Dropdown (Building Area Unit Code)) | CodeCurrencyTypeID(Dropdown (Currency Type Code)) | ContractID(Contract ID) | CovenantID(Covenant ID) | EndDate(Date) | Firm_AllowCostPSF(Currency) | Firm_AllowanceCategory(Dropdown (Custom Field)) | Firm_AllowanceDocument(Text) | Firm_AllowancePage(Text) | Firm_LandlordAllowanceContact(Text) | ModifiedByID(Member ID) | ModifiedDate(Time) | Notes(Text) | ProjectEntityID(Entity ID) | RentableArea(Number) | Section(Text) | TotalAmount(Currency)
AllowanceTransaction	allowance_transaction	20	AllowanceID(Allowance ID) | AllowanceTransactionID(Number) | BOMapClientRecordID(Text) | ContractID(Contract ID) | DueDate(Date) | Firm_AllowableAmount(Currency) | Firm_ApprovedLandlordDeduction(Currency) | Firm_LandlordRentOffset(Currency) | Firm_PaymentTerms(Dropdown (Custom Field)) | Firm_PercentageInstallment(Percentage) | Firm_RevisedDueDate(Date) | ModifiedByID(Member ID) | ModifiedDate(Time) | Notes(Text) | PenaltyAmount(Currency) | ProjectEntityID(Entity ID) | ReceiveAmount(Currency) | ReceiveDate(Date) | RequestAmount(Currency) | RequestDate(Date)
AlternateRentSchedule	alternate_rent_schedule	25	AlternateRentScheduleID(Number) | BOMapClientRecordID(Text) | BeginDate(Date) | CapAmount(Currency) | CodeAltRentMathID(Dropdown (Alt Rent Math Code)) | CodeSalesGroupID(Dropdown (Sales Group)) | ContractID(Contract ID) | CreatedByID(Member ID) | CreatedDate(Time) | Description(Text) | EndDate(Date) | ExpenseReductionAmount(Currency) | ExpenseReductionPercent(Percentage) | ExpenseSetupID(Expense Setup ID) | FloorAmount(Currency) | ModifiedByID(Member ID) | ModifiedDate(Time) | Notes(Text) | PRDeductExclusions(Boolean) | PercentRentRate(Percentage) | ProjectEntityID(Entity ID) | RevNumber(Number) | SetExpHoldFlag(Boolean) | SetPRHoldFlag(Boolean) | SuspendSL(Boolean)
Asset	asset	122	AccountingBeginDate(Date) | AccountingEndDate(Date) | AlternateVendorID(Employer ID) | AssetBarcodeNumber(Text) | AssetID(Number) | AssetName(Text) | AssetSalePrice(Currency) | AssetSerialNumber(Text) | AssociatedProjectEntityID(Entity) | BOMapClientRecordID(Text) | BaseProvider(Text) | ClientNumber(Text) | CodeAccountingMethodOverrideID(Dropdown (Accounting Method Code)) | CodeAssetCategoryID(Dropdown (Asset Category Code)) | CodeAssetDepartmentID(Dropdown (Asset Department Code)) | CodeAssetGroupID(Dropdown (Asset Group Code)) | CodeAssetOperationStatusID(Dropdown (Asset Operation Status Code)) | CodeAssetProductTypeID(Dropdown (Asset Product Type Code)) | CodeAssetSuspensionStatusID(Dropdown (Asset Suspension Status Code)) | CodeAssetTypeID(Dropdown (Asset Type Code)) | CodeCompoundingFrequencyID(Dropdown (Frequency Code)) | CodeDesc_CodeAssetCategoryID(Dropdown (Asset Category Code)) | CodeDimensionUnitID(Dropdown (Measurement Unit Code)) | CodeInsuranceTermUnitID(Dropdown (Time Unit Code)) | CodeMaintenancePartyID(Dropdown (Responsible Party)) | CodeMaintenanceRemedyID(Dropdown (Maintenance Remedy Code)) | CodePMFrequencyUnitID(Dropdown (Frequency Unit Code)) | CodeRemainingLifeFreqUnitID(Dropdown (Frequency Unit Code)) | CodeRepairPartyID(Dropdown (Responsible Party)) | CodeRepairRemedyID(Dropdown (Maintenance Remedy Code)) | CodeReplacementPartyID(Dropdown (Responsible Party)) | CodeReplacementRemedyID(Dropdown (Maintenance Remedy Code)) | CodeWeightUnitID(Dropdown (Weight Unit Code)) | Color(Text) | CreatedByID(Member ID) | CreatedDate(Time) | CurrentAnnualPayment(Currency) | CurrentMonthlyPayment(Currency) | DepreciationEndDate(Date) | Depth(Number) | Description(Text) | DiscountRateOverride(Percentage) | DispositionDate(Date) | DoesTitleRevertToTenant(Boolean) | ExpectedLife(Text) | FairValueOfAsset(Currency) | FairValueSource(Text) | FinalAssetAllocPercent(Percentage) | FinalAssetAmount(Currency) | FinalAssetDate(Date) | FinancialContractID(Contract ID) | FirstYearBonusDepreciation(Percentage) | Floor(Text) | HasBuyoutOption(Boolean) | Height(Number) | ImpairmentOverride(Currency) | InServiceDate(Date) | InitialAssetBalanceAdjust(Currency) | InitialLiabilityBalanceAdjust(Currency) | InstallationDate(Date) | InstallerVendorID(Employer ID) | InsuranceAgent(Text) | InsuranceAlertDate(Date) | InsuranceBeginDate(Date) | InsuranceEndDate(Date) | InsurancePolicyNumber(Text) | InsuranceTerm(Number) | InsuranceTicklerDate(Date) | IntegrationAssetStatus(Text) | IsAssetTooSpecializedForLessor(Boolean) | IsLowAssetValue(Boolean) | IsShortTerm(Boolean) | LOAMonths(Number) | LeaseSection(Text) | LocationDetails(Text) | MaintenanceMaximumRemedyDays(Number) | MaintenanceResponsiblePersonID(Contact) | Make(Text) | ManufacturerVendorID(Employer ID) | ModelNumber(Text) | ModifiedByID(Member ID) | ModifiedDate(Time) | MonthToMonth(Boolean) | MoveInDate(Date) | PMPeriod(Number) | PaymentsBeginDate(Date) | PaymentsEndDate(Date) | PlanToBuyAtEndOfTerm(Boolean) | PortionOfAssetControlled(Percentage) | PrimaryVendorID(Employer ID) | ProjectEntityID(Entity ID) | PurchaseDate(Date) | PurchaseOrderDescrption(Text) | PurchaseOrderNumber(Text) | PurchaseOrderReference(Text) | PurchasePrice(Currency) | RemainingAssetBalance(Percent or Currency) | RemainingLife(Number) | RepairMaximumRemedyDays(Number) | RepairResponsiblePersonID(Contact) | ReplacementCost(Currency) | ReplacementMaximumRemedyDays(Number) | ReplacementResponsiblePersonID(Contact) | Residual(Currency) | ResponsibilityID(Text) | RevNumber(Number) | SalesPersonName(Text) | SecondaryVendorID(Employer ID) | StartingDepreciationCost(Currency) | SupplierVendorID(Employer ID) | UCCExpirationDate(Date) | UCCFileDate(Date) | UUID(Text) | VendorPONumber(Text) | WarrantyBeginDate(Date) | WarrantyComments(Text) | WarrantyEndDate(Date) | WarrantyNumber(Text) | WarrantyVendorID(Employer ID) | Weight(Number) | Width(Number) | YearsOfDepreciableLife(Number)
AssetHistory	asset_history	13	AssetHistoryID(Number) | AssetID(Equipment ID) | BOMapClientRecordID(Text) | CreatedByID(Member ID) | CreatedDate(Time) | FromProjectEntityID(Entity) | ModifiedByID(Member ID) | ModifiedDate(Time) | MoveInDate(Date) | MoveOutDate(Date) | Notes(Text) | ProjectEntityID(Entity) | RevNumber(Number)
AuditColumn		14	AccessorName(Text) | AuditAction(Text) | CodeSQLTableID(Dropdown (SQL Table Code)) | CreatedByID(Member ID) | CreatedDate(Time) | EntityName(Text) | FieldName(Text) | GroupID(item ID) | NewValue(Text) | ObjectID(Number) | OldValue(Text) | ProjectEntityID(Entity ID) | ScriptName(Text) | SubGroupID(item ID)
AuditTable	audit_table	1	ProjectEntityID(Entity ID)
BidPackage	bid_package	48	BOMapClientRecordID(Text) | BidAwardByID(Member ID) | BidAwardDate(Time) | BidAwardLayoutID(item ID) | BidBudgetColumnTypeID(Budget Type ID) | BidCancelledByID(Member ID) | BidCancelledDate(Time) | BidCloseDate(Time) | BidGracePeriod(Number) | BidInvitationLayoutID(item ID) | BidLossLayoutID(item ID) | BidOpenDate(Time) | BidPackageID(Number) | BidPackageTemplateID(Bid Package Template ID) | BidderKickOffPageLayoutID(Text) | BudgetViewID(Budget Template View ID) | CodeBidGracePeriodTimeUnitID(Dropdown (Bid Grace Period Time Unit Code)) | CodeBidPackageAwardStatusID(Dropdown (Last Action Status Code)) | CodeBidPackageStatusID(Dropdown (Bid Package Status Code)) | CodePreAcceptFolderSecurityID(Dropdown (User Class)) | ConditionBudgetColumnTypeID(Budget Type ID) | CreatedByID(Member ID) | CreatedDate(Time) | EstimateBudgetColumnTypeID(Budget Type ID) | EstimatedBidAmount(Currency) | FirstPlaceBidderName(Text) | FirstPlaceBidderVendorName(Text) | FirstPlaceConditionedAmount(Currency) | FirstPlaceSubmittedAmount(Currency) | IssueID(Text) | MaxNumberOfBids(Number) | ModifiedByID(Member ID) | ModifiedDate(Time) | Notes(Text) | NumberOfActiveBidders(Number) | NumberOfBidInvitesAccepted(Number) | NumberOfBidInvitesDeclined(Number) | NumberOfBidInvitesUsed(Number) | NumberOfBidInvitesWaiting(Number) | ProjectEntityID(Entity ID) | RevNumber(Number) | SequenceNumber(Text) | TotalNumberOfBidders(Number) | WinningBidMemberIDList(Member ID) | WinningBidVendorID(Employer ID) | WinningBidderIssueID(Text) | WinningConditionedBidAmount(Currency) | WinningSubmittedBidAmount(Currency)
