=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
		Admin Area					Tools will be a part of Admin only, we think My Porfolio is not needed , ASG to confirm  	Correct	
1		System Administrator Dashboard					New Card view for simpler Client Navigation	Correct	
			Multi Tenancy Engine					DB 01.06.26 - Correct	
			Master Tenant Template					DB 01.06.26 - Correct	
			Company Admin Card Area					DB 01.06.26 - Correct	
			Client Admin Card Area					DB 01.06.26 - Correct	
2		User, Role & Access Administration							
				Manage Membership				DB 01.06.26 - Correct	
				Manage Members/Contacts				DB 01.06.26 - Correct	
				Manage Employer Members			ok we will look up on this post delivering the first version from SOW	DB 01.06.26 - Not sure if this is required. The feature is in Lx, but I have never used it.	
				Manage Security				DB 01.06.26 - Correct	
				Job Function Code				DB 01.06.26 - Correct	
				Job Title Code				DB 01.06.26 - Correct	
				User Class Code				DB 01.06.26 - Correct	
		Configuration & Master Data Management							
3			Manage Client Firm	Manage Fiscal Calendar			Accounting & Financial Configuration earlier name	DB 01.06.26 - Change Sub-Module to Manage Client Firm and set up section similar to Lx with the necessary "tabs"	
				Manage Exchange Rates				DB 01.06.26 - Correct	
				Manage Discount Rates				DB 01.06.26 - Correct	
				Manage CPI Data				DB 01.06.26 - Correct	
				Modify Straight Line Status				DB 01.06.26 - Correct	
				Manage Company Details			Done	DB 01.06.26 - Change to Manage Company Details.	
				Manage Regions/Org Chart			Done	DB 01.06.26 - Move to Manage Client Firm	
4			Manage Data	Manage Firm Drop Downs				DB 01.06.26 - Correct	
				Manage Client Drop Downs				DB 01.06.26 - Correct	
				Manage Custom Lists				DB 01.06.26 - Correct	
				Manage Data Fields				DB 01.06.26 - Correct	
5			Organizational Structure						
				Manage Counties/Jurisdictions				DB 01.06.26 - Move to Data Tools	
6			Core Lease Entities	Create Lease Entities Wizard 				DB 01.06.26 - Correct	
				Manage Portfolios				DB 01.06.26 - Correct	
				Manage Facilities				DB 01.06.26 - Correct	
				Manage Locations				DB 01.06.26 - Correct	
				Manage RE Contracts				DB 01.06.26 - Correct	
				Manage Equipment Contracts				DB 01.06.26 - Correct	
				Manage Employers		Activate/Deactivate		DB 01.06.26 - Correct	
							Manage Vendors Removed, Activation/Deactivation included in Manage Employers	DB 01.06.26 - Would like to eliminate this item and incorporate Activiating/Deactivating at the Employer level.	
7			UI & Structural Configuration (Client Level)	Manage Folder Templates				DB 01.06.26 - Correct	
				Layout Changes			to confirm with IT, we will look up on this post delivering the first version from SOW	DB 01.06.26 - Need further explanation as to what this is.	
				Manage Page Layouts				DB 01.06.26 - Correct	
				Manage Top Menu			ok , ASG to suggest if this can be out of scope	DB 01.06.26 - Correct	
				Manage Forms				DB 01.06.26 - Correct	
8		Workflow, Controls & Approval Management							
				Manage Work Flows			ok we will include in that section 	DB 01.06.26 - Should this not be in the UI & Structural Configuration section?	
				Manage Features / Global Properties			ok we will look up on this post delivering the first version from SOW	DB 01.06.26 - Move to Data Tools, but not certain this is required.	
				Manage Excel Service			ok we will look up on this post delivering the first version from SOW	DB 01.06.26 - Move to Data Tools, but not certain this is required.	
9		Integrations, Automation & Job Management							
				Import Data				DB 01.06.26 - Correct	
				Export Configuration				DB 01.06.26 - Correct	
				Job Log				DB 01.06.26 - Correct	
		Data Tools							
				Export Schema			Done	DB 01.06.26 - Move to Data Tools	
				Generate Enterprise Report File			Done	DB 01.06.26 - Move to Data Tools	
				Test Email Address			Done	DB 01.06.26 - Move to Data Tools	
				RESTful WebService Docs			Done	DB 01.06.26 - Move to Data Tools	
				GraphQL Explorer			Done	DB 01.06.26 - Move to Data Tools	
				View Object Model			Done	DB 01.06.26 - Move to Data Tools	
				View Data Model / Data Values (experimental)			Done	DB 01.06.26 - Move to Data Tools	
				Data Conversion Cleaner			Done	DB 01.06.26 - Move to Data Tools	
				Manage Scratch Pads			Done	DB 01.06.26 - Move to Data Tools	
				Delete Entities			ok, this will be done but suggested to have in manage company level (client card)	DB 01.06.26 - Move to Data Tools	
10		System Monitoring and Audit							
				Manage Dashboard Reports			this will be at client level, done	DB 01.06.26 - Move to UI & Structural Configuration (Client Level), need to move to standard reports, shud be under reports module	
				Audit Reports				DB 01.06.26 - Correct	
				Email Log				DB 01.06.26 - Correct	
				Report Log				DB 01.06.26 - Correct	
		User Area							
11		User Dashboard							
12		User Login							
13		User Navigation							
				List Navigation					
				Form Navigation					
14		Portfolio	Details						
				Summary		Edit Portfolio, Printable View, Add Portfolio, Audit Log, Save to Documents	Is Printable View, Save to documents and Link is needed? ASG to confirm, Portiflio List can be checked via portfolio navigation  	DB 01.06.26 - These are not needed at the Portfolio level. |  | Taazaa Comment : We have added Copy into New funciton in Contract Area (this question is in Portfolio Area)	
				Members/Contacts		Members List , Sort Members, Search Members, Add Members, Edit Members	Are Add Contacts, Edit Contacts, Printable View, Save to Documents and Link Needed? ASG to confirm | Discussion done	ASG would like to discuss Contact structure further - centralized db, vendor changes, etc.	
15				Forms				DB 01.06.26 - Correct	
16				Workflows				DB 01.06.26 - Correct	
17				Documents				DB 01.06.26 - Correct	
18			Org Chart				Ok, we will include this in Admin area	DB 01.06.26 - If the Org Chart is available in the Admin area, I do not believe this page will be necessary.	
19		Location	Details	Summary				DB 01.06.26 - Correct	
		Location	Details	Members/Contacts				DB 01.06.26 - Correct	
20		Facility	Details	Summary				DB 01.06.26 - Correct	
		Facility	Details	Members/Contacts				DB 01.06.26 - Correct	
21		Contract	Details	Summary		Copy into New		DB 01.06.26 - Correct	
		Contract	Details	Members/Contacts				DB 01.06.26 - Correct	
		Contract	Details	Forms				DB 01.06.26 - Correct	
		Contract	Details	Work Flow				DB 01.06.26 - Correct	
		Contract	Details	Documents				DB 01.06.26 - Correct	
22		Contract	Abstract Info	Summary				DB 01.06.26 - Correct	
		Contract	Abstract Info	Terms				DB 01.06.26 - Correct	
		Contract	Abstract Info	Amendments				DB 01.06.26 - Correct	
		Contract	Abstract Info	Covenants				DB 01.06.26 - Correct	
		Contract	Abstract Info	Key Dates				DB 01.06.26 - Correct	
		Contract	Abstract Info	Responsibilities				DB 01.06.26 - Correct	
		Contract	Abstract Info	Insurance			not needed as per 12 jan discussion		
		Contract	Abstract Info	Co-Tenancy				DB 01.06.26 - Correct	
23		Contract	Payment Info	Summary				DB 01.06.26 - Correct	
		Contract	Payment Info	Recurring Expenses				DB 01.06.26 - Correct	
		Contract	Payment Info	Alternate Rent				DB 01.06.26 - Correct	
		Contract	Payment Info	Transactions				DB 01.06.26 - Correct	
		Contract	Payment Info	Receipts			needed with improvements	DB 01.06.26 - Correct	
		Contract	Payment Info	Recoveries				DB 01.06.26 - Correct	
		Contract	Payment Info	Scheduled Offsets			needed with improvements	DB 01.06.26 - Correct	
		Contract	Payment Info	Allowances				DB 01.06.26 - Correct	
		Contract	Payment Info	Security Deposit				DB 01.06.26 - Correct	
		Contract	Payment Info	Percentage Rent				DB 01.06.26 - Correct	
		Contract	Payment Info	Sales				DB 01.06.26 - Correct	
24			Accounting Engine						
25		Contract	Accounting Info	Summary				Correct	
		Contract	Accounting Info	Capital Lease Test			not needed as per 12 jan discussion		
		Contract	Accounting Info	Straight-Line Rent			sparingly used	Correct	
		Contract	Accounting Info	Accounting Assumptions				Correct	
		Contract	Accounting Info	ASC 842 Test				Correct	
		Contract	Accounting Info	ASC 842 Rent Schedule				Correct	
		Contract	Accounting Info	IFRS 16 Rent Schedule				Correct	
26		Contract	Accrual Info	Summary			needed with lot of improvements	DB 01.12.26 - Correct	
		Contract	Accrual Info	Expense Accruals			needed with lot of improvements	DB 01.12.26 - Correct	
		Contract	Accrual Info	Transactions			needed with lot of improvements	DB 01.12.26 - Correct	
		Contract	Accrual Info	Percentage Rent Accruals			needed with lot of improvements	DB 01.12.26 - Correct	
		Reporting and Support Area							
27			Reporting Engine					DB 01.06.26 - Correct	
28			Report Management					DB 01.06.26 - Correct	
29			Report Creation					DB 01.06.26 - Correct	
30			Report Modification					DB 01.06.26 - Correct	
31			Report Integrations					DB 01.06.26 - Correct	
32		Help							
Additional stuff		QA							
		Multi Environment Deployment							
		Migration Area (for each client)							
		Data Migration							
		Document Migration							
		Layout Migration							
		Field Migration							
		Reports Migration							
		Workflow Migration							
		UAT							
		Go-Live							

##### SHEET: ASG Edge Plus Features #####
Feature ID	Module	Sub Module	Feature Name	Action Items	Feature/Action Description	Business Rules & Dependencies	ASG Sysadmin	ASG IT	ASG LAM	ASG LA	ASG 3P	ASG Accounts	Client Admin	Client User/3P	Priority	Target Release (MVP/V1)	ASG Discussed	Not Needed (Y/N)	Covered in Figma	Covered in PRD	ASG Approved (Y/N)	Approved By	ASG Notes	Taazaa Notes	Field Level Details link	PRD Section Link	Figma Link
SA 01	Enterprise		Sub domain creation and Infra setup		Enterprise Admin will create a sub domain and relevant Infra allocation	Super Admin/Enterprise Admin will be created as part of first deployment and hosting of a new Lucy instance	N	N	N							MVP							Risk: OTP delays due to SMS gateway.				
