=== /Users/shashanksaxena/Downloads/Lucernex_to_PostgreSQL_Inventory_jcrew.xlsx ===
Sheets: ['Field Inventory']


##### SHEET: Field Inventory #####
Lucernex Object	Lucernex Field Name	UI Label	Lucernex Data Type	Required	Max Size	Functional Field	Definition	Extracted to PostgreSQL	PG Database	PG Table	PG Table Status	PG Column	PG Data Type	Key Role	Notes
AccrualTransaction	APExportBaseNumber	AP Export Base Number	Text		50	Yes	The account number for your expenses. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	APExportBaseNumber	TEXT		
AccrualTransaction	APExportPrepaidNumber	AP Export Prepaid Number	Text		50	Yes	The account number for your prepaid expenses (if applicable). The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	APExportPrepaidNumber	TEXT		
AccrualTransaction	AccountNumber1	Account Number #1	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber1	TEXT		
AccrualTransaction	AccountNumber2	Account Number #2	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber2	TEXT		
AccrualTransaction	AccountNumber3	Account Number #3	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber3	TEXT		
AccrualTransaction	AccountNumber4	Account Number #4	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber4	TEXT		
AccrualTransaction	AccountNumber5	Account Number #5	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber5	TEXT		
AccrualTransaction	AccountNumber6	Account Number #6	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber6	TEXT		
AccrualTransaction	AccountNumber7	Account Number #7	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber7	TEXT		
AccrualTransaction	AccountNumber8	Account Number #8	Text		50	Yes	This field contains an account number associated with the organization. You can edit these account numbers at the organization-level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccountNumber8	TEXT		
AccrualTransaction	AccrualMessage	Accrual Message	Text		50	Yes	Enter a message for the memo line in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccrualMessage	TEXT		
AccrualTransaction	AccrualTransactionID	Accrual Transaction RecID	Number		2147483647	Yes	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	AccrualTransactionID	VARCHAR(64) NOT NULL	Primary key	
AccrualTransaction	BOMapClientRecordID	Accrual Transaction ClientID	Text	Required	256	Yes	The ClientID field is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	BOMapClientRecordID	TEXT	Client identifier	
AccrualTransaction	CodeCurrencyTypeID	Currency Type	Dropdown (Currency Type Code)		-	Yes	The Currency Type field allows you to select a currency type to be used on a record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CodeCurrencyTypeID	TEXT	Foreign key (ID reference)	
AccrualTransaction	CodeExpenseCategoryID	Expense Category	Dropdown (Expense Category Code)		-	No	The Expense Category field allows you to associate your record with a pre-configured expense category. Categories are the children of types, and the grandchildren of groups.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CodeExpenseCategoryID	TEXT	Foreign key (ID reference)	
AccrualTransaction	CodeExpenseGroupID	Expense Group	Dropdown (Expense Group Code)		-	No	The Expense Group field allows you to associate your record with a pre-configured expense group. Expense groups are used to categorize expense types.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CodeExpenseGroupID	TEXT	Foreign key (ID reference)	
AccrualTransaction	CodeExpenseTypeID	Expense Type	Dropdown (Expense Type Code)		-	Yes	The Expense Type field allows you to associate your record with a pre-configured expense type. Expense Types are used to associate records with lease accounting schedules, AP export numbers, expense accrual accounts, percentage rent accrual accounts, and real estate tax accounts.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CodeExpenseTypeID	TEXT	Foreign key (ID reference)	
AccrualTransaction	ContractID	ContractID	Contract ID		-	Yes	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ContractID	TEXT	Foreign key (ID reference)	
AccrualTransaction	CreatedByID	Created By	Member ID		-	Yes	The Created By field is a system-populated field which captures the name of the member making changes to a record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CreatedByID	TEXT	Foreign key (ID reference)	
AccrualTransaction	CreatedDate	Created Date	Time		01/01/1900 - 01/01/3000	Yes	The Created Date field is a system-populated field which captures the date that a record was created.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	CreatedDate	TEXT	Audit	
AccrualTransaction	Description	Description	Text		50	No	Write a description of the record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	Description	TEXT		
AccrualTransaction	ExpAccrualAcct1Number	Exp Accrual Acct #1 Number	Text		50	Yes	This field contains an account number for your expense accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ExpAccrualAcct1Number	TEXT		
AccrualTransaction	ExpAccrualAcct2Number	Exp Accrual Acct #2 Number	Text		50	Yes	This field contains an account number for your expense accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ExpAccrualAcct2Number	TEXT		
AccrualTransaction	ExpAccrualAcct3Number	Exp Accrual Acct #3 Number	Text		50	Yes	This field contains an account number for your expense accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ExpAccrualAcct3Number	TEXT		
AccrualTransaction	ExpAccrualAcct4Number	Exp Accrual Acct #4 Number	Text		50	Yes	This field contains an account number for your expense accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ExpAccrualAcct4Number	TEXT		
AccrualTransaction	ExpenseAccrualSetupID	Expense Accrual Setup	Text		-	Yes	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ExpenseAccrualSetupID	TEXT	Foreign key (ID reference)	
AccrualTransaction	HoldFlag	Hold?	Boolean		-	No	This flag is informational-only. Select this check box to mark this accrual transaction as being on hold.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	HoldFlag	TEXT		
AccrualTransaction	ModifiedByID	Modified By	Member ID		-	Yes	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ModifiedByID	TEXT	Foreign key (ID reference)	
AccrualTransaction	ModifiedDate	Modified Date	Time		01/01/1900 - 01/01/3000	Yes	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ModifiedDate	TEXT	Incremental watermark	
AccrualTransaction	Notes	Notes	Text		No Limit	No	Add any notes about the record.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	Notes	TEXT		
AccrualTransaction	OrganizationID	Organization	Organization ID		-	Yes	Select the organization from which this payment should be debited from this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	OrganizationID	TEXT	Foreign key (ID reference)	
AccrualTransaction	PercentRentAccrualAcct1Number	Percent Rent Accrual Acct #1	Text		50	Yes	This field contains an account number for your percent rent accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PercentRentAccrualAcct1Number	TEXT		
AccrualTransaction	PercentRentAccrualAcct2Number	Percent Rent Accrual Acct #2	Text		50	Yes	This field contains an account number for your percent rent accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PercentRentAccrualAcct2Number	TEXT		
AccrualTransaction	PercentRentAccrualAcct3Number	Percent Rent Accrual Acct #3	Text		50	Yes	This field contains an account number for your percent rent accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PercentRentAccrualAcct3Number	TEXT		
AccrualTransaction	PercentRentAccrualAcct4Number	Percent Rent Accrual Acct #4	Text		50	Yes	This field contains an account number for your percent rent accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PercentRentAccrualAcct4Number	TEXT		
AccrualTransaction	PeriodAmount	Period Amount	Currency		999999999999999	Yes	Enter the amount that is being accrued for the period in this field. This field will be disabled if you select the Include Taxes in Total Amount? Flag.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PeriodAmount	TEXT		
AccrualTransaction	PeriodBeginDate	Period Begin Date	Date		01/01/1900 - 01/01/3000	Yes	Enter or use the calendar picker to select the begin date of the transaction period.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PeriodBeginDate	TEXT		
AccrualTransaction	PeriodEndDate	Period End Date	Date		01/01/1900 - 01/01/3000	Yes	Enter or use the calendar picker to select the end date of the transaction period.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PeriodEndDate	TEXT		
AccrualTransaction	PeriodNumber	Period Number	Number		2147483647	Yes	Enter the period number as a two-digit number in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PeriodNumber	TEXT		
AccrualTransaction	PeriodYear	Period Year	Number		9999	Yes	Select the year of the transaction period from this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PeriodYear	TEXT		
AccrualTransaction	PostingDate	Posting Date	Date		01/01/1900 - 01/01/3000	Yes	Enter or use the calendar picker to select the posting date of the transaction.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	PostingDate	TEXT		
AccrualTransaction	ProcessedFlag	Processed?	Boolean		-	Yes	Select this check box once you have processed your accrual transaction. Warning - once you mark a transaction as processed, you cannot change it.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ProcessedFlag	TEXT		
AccrualTransaction	ProjectEntityID	ProjectEntityID	Entity ID		-			Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	ProjectEntityID	TEXT	Foreign key (ID reference)	
AccrualTransaction	RETaxAccrualAcct1Number	RE Tax Accrual Acct #1	Text		50	Yes	This field contains an account number for your real estate tax accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	RETaxAccrualAcct1Number	TEXT		
AccrualTransaction	RETaxAccrualAcct2Number	RE Tax Accrual Acct #2	Text		50	Yes	This field contains an account number for your real estate tax accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	RETaxAccrualAcct2Number	TEXT		
AccrualTransaction	RETaxAccrualAcct3Number	RE Tax Accrual Acct #3	Text		50	Yes	This field contains an account number for your real estate tax accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	RETaxAccrualAcct3Number	TEXT		
AccrualTransaction	RETaxAccrualAcct4Number	RE Tax Accrual Acct #4	Text		50	Yes	This field contains an account number for your real estate tax accruals. The account number is configured at the expense type level.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	RETaxAccrualAcct4Number	TEXT		
AccrualTransaction	RevNumber	Rev Number	Number		2147483647	Yes	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	RevNumber	TEXT	Audit	
AccrualTransaction	SourceEntityTable	Source Entity Table	Text		50	Yes	The batch ID for your accrual payment transaction.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	SourceEntityTable	TEXT		
AccrualTransaction	TaxAmount1	Tax Amount #1	Currency		999999999999999	Yes	Enter the primary tax amount in currency in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxAmount1	TEXT		
AccrualTransaction	TaxAmount2	Tax Amount #2	Currency		999999999999999	Yes	Enter the secondary tax amount in currency in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxAmount2	TEXT		
AccrualTransaction	TaxAmount3	Tax Amount #3	Currency		999999999999999	Yes	Enter the third tax amount in currency in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxAmount3	TEXT		
AccrualTransaction	TaxAmount4	Tax Amount #4	Currency		999999999999999	Yes	Enter the fourth tax amount in currency in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxAmount4	TEXT		
AccrualTransaction	TaxesIncludedFlag	Taxes Included In Amount?	Boolean		-	Yes	Select this check box if taxes are included in the value you entered in the Period Amount field. The system will then subtract the tax amounts from the period amount, and the Total Amount field becomes editable. If you need to make changes to the value in the Total Amount field, you may now do so.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxesIncludedFlag	TEXT		
AccrualTransaction	TotalAmount	Total Amount	Currency		999999999999999	Yes	This field will only be editable if the Taxes Included in Amount? flag is selected. The total amount is the period amount plus any taxes.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TotalAmount	TEXT		
AcctingAssumptionAdjust	AcctingAssumptionAdjustID	Accting Assumption Adjust RecID	Number		2147483647	Yes	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AcctingAssumptionAdjustID	VARCHAR(64) NOT NULL	Primary key	
AcctingAssumptionAdjust	AdjustmentPercent	Adjustment Percent	Percentage		999999	No	This field is a placeholder in preparation for an upcoming enhancement.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AdjustmentPercent	TEXT		
AcctingAssumptionAdjust	AnnualAmount	Annual Amount	Currency	Required	999999999999999	Yes	The Annual Amount field is where the system will store the annual amount of the accounting assumption adjustment. The First Payment Amount, Last Payment Amount, and Annual Amount fields will auto-populate depending upon the value you enter in the Payment Amount field and the frequency you select from the Frequency field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AnnualAmount	TEXT		
AcctingAssumptionAdjust	BOMapClientRecordID	Accting Assumption Adjust ClientID	Text	Required	256	Yes	The ClientID field is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	BOMapClientRecordID	TEXT	Client identifier	
AcctingAssumptionAdjust	BeginDate	Begin Date	Date	Required	01/01/1900 - 01/01/3000	Yes	The Begin Date field allows you to select a begin date for the record.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	BeginDate	TEXT		
AcctingAssumptionAdjust	CodeASC842ScheduleID	ASC 842 Schedule	Dropdown (ASC 842 Schedule Type)		-	Yes	The ASC 842 Schedule field is where you select the ASC 842 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeASC842ScheduleID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	CodeFrequencyID	Frequency	Dropdown (Frequency Code)		-	Yes	Select the frequency of your payment from this field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeFrequencyID	TEXT	Foreign key (ID reference)	
