Entity,Label,InternalName,FieldType,Scope,Required,ReadOnly,Default
BudgetColumn,Allow UI Edit?,AllowUIEdit,sTYPE_BOOLEAN,Global,No,No,
BudgetColumn,Bid Package,BidPackageID,sTYPE_BID_PACKAGE,Global,No,No,
BudgetColumn,Budget Column ClientID,BOMapClientRecordID,sTYPE_TEXT,Global,Yes,No,
BudgetColumn,Budget Column Name,BudgetColumnName,sTYPE_TEXT,Global,No,No,
BudgetColumn,Budget Column RecID,BudgetColumnID,sTYPE_UNFORMATTED_NUMBER,Global,No,No,
BudgetColumn,Budget Column Status,CodeBudgetColumnStatusID,sCODE_BUDGET_COLUMN_STATUS,Global,Yes,No,
BudgetColumn,Budget Column Type,BudgetColumnTypeID,sTYPE_BUDGET_COLUMN_TYPE,Global,Yes,No,
BudgetColumn,Budget Template,BudgetTemplateID,sTYPE_BUDGET_TEMPLATE,Global,Yes,No,
BudgetColumn,Created By Member,CreatedByMemberID,sTYPE_MEMBER,Global,Yes,No,
BudgetColumn,Created Date,CreatedDate,sTYPE_TIME,Global,No,No,
BudgetColumn,Description,Description,sTYPE_TEXTAREA,Global,No,No,
BudgetColumn,Initialized From Budget Column,InitializedFromBudgetColumnID,sTYPE_BUDGET_COLUMN,Global,No,No,
BudgetColumn,Is Inactive?,Inactive,sTYPE_BOOLEAN,Global,Yes,No,
BudgetColumn,Is Locked?,IsLocked,sTYPE_BOOLEAN,Global,No,No,
BudgetColumn,Is Selected?,IsSelected,sTYPE_BOOLEAN,Global,No,No,
BudgetColumn,Modified By,ModifiedByID,sTYPE_MEMBER,Global,No,No,
BudgetColumn,Modified Date,ModifiedDate,sTYPE_TIME,Global,No,No,
BudgetColumn,Sealed Bid Number,SealedBidNumber,sTYPE_UNFORMATTED_NUMBER,Global,No,No,
BudgetColumn,Sequence Number,SequenceNumber,sTYPE_UNFORMATTED_NUMBER,Global,Yes,No,
BudgetColumn,Third Party Vendor,ThirdPartyVendorID,sTYPE_EMPLOYER,Global,No,No,
BudgetIndex,Budget Index ClientID,BOMapClientRecordID,sTYPE_TEXT,Global,Yes,No,
BudgetIndex,Budget Index Description,Description,sTYPE_TEXTAREA,Global,No,No,
BudgetIndex,Budget Index Name,BudgetIndexName,sTYPE_TEXT,Global,Yes,No,
BudgetIndex,Budget Index RecID,BudgetIndexID,sTYPE_UNFORMATTED_NUMBER,Global,No,No,
BudgetIndex,Modified By,ModifiedByID,sTYPE_MEMBER,Global,No,No,
BudgetIndex,Modified Date,ModifiedDate,sTYPE_TIME,Global,No,No,
BudgetIndexValue,Budget Column Type,BudgetColumnTypeID,sTYPE_BUDGET_COLUMN_TYPE,Global,Yes,No,
BudgetIndexValue,Budget Index,BudgetIndexID,sTYPE_BUDGET_INDEX,Global,Yes,No,
BudgetIndexValue,Budget Index Value ClientID,BOMapClientRecordID,sTYPE_TEXT,Global,Yes,No,
BudgetIndexValue,Budget Index Value RecID,BudgetIndexValueID,sTYPE_UNFORMATTED_NUMBER,Global,No,No,
BudgetIndexValue,Index Value Percent,IndexValuePercent,sTYPE_PERCENTAGE,Global,Yes,No,
BudgetIndexValue,Modified By,ModifiedByID,sTYPE_MEMBER,Global,No,No,
BudgetIndexValue,Modified Date,ModifiedDate,sTYPE_TIME,Global,No,No,
BudgetColumnItemValue,Budget Column,BudgetColumnID,sTYPE_BUDGET_COLUMN,Global,Yes,No,
BudgetColumnItemValue,Budget Column ClientID,BOMapClientRecordID,sTYPE_TEXT,Global,Yes,No,
BudgetColumnItemValue,Budget Column Item Value Name,BudgetColumnItemValueName,sTYPE_TEXT,Global,No,No,
BudgetColumnItemValue,Budget Column Item Value RecID,BudgetColumnItemValueID,sTYPE_UNFORMATTED_NUMBER,Global,No,No,
BudgetColumnItemValue,Budget Line Item,BudgetLineItemID,sTYPE_BUDGET_LINE_ITEM,Global,Yes,No,
BudgetColumnItemValue,Budget Option,BudgetOptionID,sTYPE_BUDGET_OPTION,Global,No,No,
BudgetColumnItemValue,Bypass Locked Check?,BypassLockedCheck,sTYPE_BOOLEAN,Global,No,No,
BudgetColumnItemValue,Change Reason,CodeBudgetChangeReasonID,sCODE_BUDGET_CHANGE_REASON,Global,No,No,
BudgetColumnItemValue,Description,Description,sTYPE_TEXTAREA,Global,No,No,
BudgetColumnItemValue,Item Value,ItemValue,sTYPE_MONEY,Global,No,No,
BudgetColumnItemValue,Line Item Code,LineItemCode,sTYPE_TEXT,Global,No,No,
BudgetColumnItemValue,Modified By,ModifiedByID,sTYPE_MEMBER,Global,No,No,
BudgetColumnItemValue,Modified Date,ModifiedDate,sTYPE_TIME,Global,No,No,
BudgetColumnItemValue,Quantity,Quantity,sTYPE_NUMBER,Global,No,No,
BudgetColumnItemValue,Raw Item Value,RawItemValue,sTYPE_NUMBER,Global,No,No,
